cluster_id,total_PRCSF,total_AI,total_PLA_AI,total_PLAN_AI,total_PLAAF_AI,total_PLARF_AI,total_PLAOther_AI,total_PAP_AI,total_MPS_AI,NP,growth_percent_5yr,growth_percent_3yr,citations_per_paper,ai_percent,nlp_percent,cv_percent,ro_percent,max_type,level1_mag,subject
10229,45,16,16,5,3,2,6,0,0,2437,5.62,10.59,19.78,8.04,0.04,0.25,0.04,Other,econometrics,"model,results,gray (horse)"
44339,45,1,1,0,0,0,1,0,0,1168,-55.91,-70.05,4.68,0.09,0.0,0.0,0.0,Other,dentistry,"牙髓炎,根管治疗,root canal therapy"
57210,45,42,38,9,6,6,19,2,2,816,-58.14,-41.94,43.5,49.88,1.1,5.27,0.12,AI/ML,artificial intelligence,"machine,method,support vector machine"
22232,45,31,31,8,11,11,4,0,0,1231,-6.67,30.23,19.15,3.66,0.0,0.0,1.95,Other,control theory,"control,paper,system"
64948,45,15,15,7,1,2,6,0,0,585,-28.0,-18.18,15.01,5.13,0.0,0.0,0.0,Other,reliability engineering,"time,system,model"
16552,45,4,4,1,0,0,3,0,0,1388,108.91,68.8,16.31,0.79,0.0,0.14,0.36,Other,electronic engineering,"radar,system,paper"
68604,45,1,0,0,0,0,0,0,1,867,165.79,-12.93,44.47,0.58,0.0,0.12,0.0,Other,internal medicine,"cancer,patients,study"
48954,45,4,4,3,0,0,1,0,0,945,39.34,32.81,11.29,0.42,0.0,0.0,0.42,Other,mechanics,"propeller,results,method"
97367,45,20,20,2,1,2,16,0,0,369,-44.44,-25.93,11.89,14.91,0.0,1.08,0.0,Other,algorithm,"signals,method,blind signal separation"
66714,45,3,3,0,0,0,3,0,0,596,-70.83,-80.56,12.41,0.5,0.0,0.0,0.0,Other,internal medicine,"traditional chinese medicine,liver fibrosis,肝纤维化"
50500,44,1,1,1,0,0,0,0,0,858,-63.51,-65.82,5.9,0.7,0.0,0.0,0.12,Other,internal medicine,"医院感染,呼吸机相关性肺炎,重症监护病房"
5578,44,1,1,0,0,0,1,1,0,2016,1.0,7.45,22.81,0.0,0.0,0.0,0.0,Other,microbiology,"stenotrophomonas maltophilia,maltophilia,infection"
27129,44,1,1,0,0,0,1,0,0,963,-46.55,-53.73,26.93,0.1,0.0,0.0,0.0,Other,pharmacology,"activity,cytochrome p450,drugs"
3349,44,2,2,0,0,0,2,0,0,2506,-39.89,-21.53,22.81,1.24,0.0,0.2,0.28,Other,real time computing,"synchronization,network,time synchronization"
12085,44,2,2,0,0,0,2,0,0,2023,-50.81,-44.55,18.72,0.44,0.0,0.0,0.05,Other,radiology,"gastric cancer,cancer,patients"
58541,44,1,1,0,1,0,0,0,0,847,-79.03,-78.69,8.6,0.24,0.0,0.0,0.0,Other,internal medicine,"非酒精性脂肪肝,脂肪肝,fatty liver"
17572,44,3,3,0,0,0,3,0,0,1718,4.26,-27.94,14.4,0.06,0.0,0.0,0.0,Other,internal medicine,"nephrotic syndrome,syndrome,thrombosis"
6131,44,4,4,0,2,2,1,0,0,2245,7.44,5.69,22.89,1.47,0.0,0.04,0.27,Other,mathematical optimization,"method,uncertainty,parameters"
105598,44,3,2,0,1,0,1,0,1,432,-15.38,-47.62,9.34,0.0,0.0,0.0,0.23,Other,internal medicine,"study,pilot,acceleration"
47071,44,1,1,0,0,0,1,0,0,786,-45.65,-32.43,21.4,0.0,0.0,0.0,0.0,Other,anesthesia,"hypothermia,patients,trauma"
54478,44,27,26,4,7,2,15,0,1,606,-51.28,-34.48,10.26,35.15,0.0,5.12,0.17,AI/ML,artificial intelligence,"paper,rough set,results"
8596,44,5,5,0,0,0,5,1,0,2352,-22.73,-24.44,16.39,0.13,0.0,0.0,0.0,Other,internal medicine,"sphincter,patients,dysfunction"
78995,44,4,4,0,0,1,3,0,0,529,2.7,22.58,18.79,0.0,0.0,0.0,0.0,Other,pharmacology,"effect,mice,cells"
81500,44,1,0,0,0,0,0,1,0,700,-59.72,-66.28,4.09,0.29,0.0,0.0,0.0,Other,surgery,"腰椎间盘突出症,lumbar disc herniation,acupuncture"
5149,44,4,3,0,0,0,3,1,0,2869,-25.87,-20.57,26.72,0.42,0.0,0.0,0.03,Other,computer security,"cloud computing,data,cloud storage"
118530,44,1,1,1,0,0,0,0,0,345,7.69,-12.5,5.43,0.87,0.0,0.0,0.0,Other,marine engineering,"resistance,results,hull"
1980,44,5,3,0,0,0,3,1,1,2735,-28.79,-17.06,22.91,0.4,0.04,0.11,0.0,Other,computer security,"authentication,scheme,attacks"
4984,44,3,3,0,1,0,2,0,0,2109,-52.54,-30.0,18.5,0.09,0.0,0.0,0.0,Other,computer network,"switch,paper,scheduling (computing)"
7299,44,1,1,0,0,0,1,0,0,1927,-21.94,2.54,32.76,0.16,0.0,0.16,0.0,Other,internal medicine,"polyps,adenomas,cancer"
8649,44,1,1,0,0,0,1,0,0,1736,-9.52,11.76,20.11,0.06,0.0,0.0,0.12,Other,composite material,"coatings,microstructure,coating"
12386,44,3,2,2,0,0,0,0,1,1855,-39.06,-38.1,9.77,0.32,0.0,0.05,0.05,Other,computer network,"synchronization,paper,network"
43556,44,2,2,0,0,0,2,0,0,655,-80.0,-78.13,21.59,0.15,0.0,0.0,0.0,Other,pathology,"stem cells,study,cells"
69785,44,26,26,2,1,4,19,0,0,860,-77.59,-62.86,11.2,22.91,1.16,0.81,0.0,Other,information retrieval,"ontology,ontology (information science),本体"
3937,44,29,29,5,0,3,21,0,0,2658,52.05,45.25,35.6,6.96,0.0,0.0,0.34,Other,mathematical optimization,"model,optimization,method"
6629,44,1,1,0,0,0,1,0,0,2735,-12.57,-52.29,6.57,0.04,0.0,0.0,0.0,Other,physical therapy,"pelvic floor dysfunction,电刺激,产后"
41299,44,32,30,8,7,1,15,0,2,833,-36.67,-48.65,21.35,14.17,0.0,2.88,0.0,Other,artificial intelligence,"paper,method,independent component analysis"
13653,44,6,5,1,0,0,4,0,1,1606,-52.44,-45.83,55.84,2.62,0.19,0.12,0.0,Other,statistical physics,"network,model,complex network"
511,44,4,4,0,0,0,4,0,0,3218,7.48,19.7,55.92,0.12,0.0,0.0,0.0,Other,internal medicine,"orexin,study,neurons"
285,44,1,1,0,0,0,1,0,0,4034,-2.65,17.2,45.55,0.3,0.0,0.05,0.02,Other,composite material,"indentation,nanoindentation,properties"
15030,44,9,8,3,2,0,3,1,0,2068,-71.3,-63.1,22.96,4.69,0.05,0.15,0.19,Other,operations research,"analytic hierarchy process,process,paper"
8162,44,1,1,0,0,0,1,0,0,1566,-46.43,-31.82,48.62,0.19,0.0,0.0,0.06,Other,cell biology,"ezrin,expression,cells"
64823,44,1,1,0,0,0,1,0,0,623,-65.38,-71.58,6.59,0.0,0.0,0.0,0.0,Other,psychiatry,"schizophrenia,氨磺必利,精神分裂症"
61598,44,1,1,0,0,0,1,0,0,923,-65.63,-63.93,5.11,0.0,0.0,0.0,0.0,Other,immunology,"hemolytic disease of newborn,抗体效价,新生儿溶血病"
664,44,3,3,0,1,0,2,0,0,3451,-1.39,4.41,18.9,0.46,0.0,0.09,0.06,Other,composite material,"process,permeability,flow"
19122,44,1,1,0,0,0,1,0,0,1537,-24.64,-31.58,7.35,0.39,0.0,0.0,0.78,Other,mechanics,"tank,model,results"
60068,44,1,1,0,0,0,1,0,0,735,-83.12,-78.33,5.23,0.14,0.0,0.0,0.0,Other,internal medicine,"shenqi fuzheng injection,chemotherapy,参芪扶正注射液"
5174,44,21,16,1,0,2,13,2,3,2097,-27.55,-15.48,17.44,7.87,0.0,2.1,0.0,Other,artificial intelligence,"digital watermarking,images,authentication"
3472,44,25,22,3,4,1,14,1,3,2553,-64.86,-13.33,26.79,13.94,0.0,0.04,0.39,Other,software engineering,"system,multi-agent system,model"
41659,44,4,4,0,0,0,4,0,0,805,8.47,-13.51,15.83,0.99,0.0,0.0,0.12,Other,metallurgy,"microstructure,titanium alloy,laser"
4439,44,7,7,0,2,7,0,0,0,2303,-11.54,-8.0,25.74,1.87,0.0,0.09,1.43,Other,control theory,"sliding mode control,system,control"
1212,44,2,2,1,1,0,0,0,0,3240,-38.07,-23.73,26.24,0.28,0.03,0.0,0.0,Other,arithmetic,"elliptic curve cryptography,cryptography,elliptic curve"
23281,44,6,6,3,1,0,2,0,0,1094,-52.94,-48.39,15.02,1.37,0.0,0.0,0.27,Other,algorithm,"method,estimation,signals"
29659,44,1,1,0,0,0,1,0,0,1248,-20.51,-16.22,16.67,0.56,0.0,0.24,0.0,Other,anatomy,"liver,resection,lobe"
27267,44,2,0,0,0,0,0,0,2,2512,-50.81,-58.06,3.41,0.16,0.0,0.0,0.0,Other,mathematics education,"教学改革,teaching reform,微生物学"
83284,44,19,19,7,2,5,7,0,0,512,-55.17,-7.14,5.09,4.49,0.0,0.0,3.71,Other,simulation,"model,system,simulations"
2065,44,1,1,0,0,0,1,0,0,3165,-64.0,-37.62,27.92,0.06,0.0,0.0,0.0,Other,internal medicine,"denervation,renal denervation,hypertension"
37159,44,24,24,6,3,5,13,0,0,1128,-81.08,-70.83,34.67,10.73,0.0,4.61,0.09,Other,artificial intelligence,"transform,wavelet,wavelet transform"
15156,43,13,13,1,2,6,4,0,0,1823,31.3,0.67,17.65,7.57,0.0,0.0,5.81,Other,control theory,"system,control,controller"
13531,43,23,23,1,0,0,22,0,0,1918,2.08,-3.92,8.62,8.13,0.0,0.94,0.31,Other,acoustics,"magnetic flux leakage,method,results"
